qi,query,rank_a,rank_b,rank_f
122,"Urbano Fashion Men's Solid Casual Blue, Maroon, Dark Blue Shirt",2,10,4
123,Human Steps Men's Printed Casual Yellow Shirt,6,5,6
124,ADIDAS Full Sleeve Solid Men's Jacket,6,1,6
125, Kalamkari Silk Saree With Zari Border Fuchsia ,41,3,13
126,Monte CarloWomen Navy Blue Solid Cardigan,3,1,1
127,U.S. Polo Assn Checkered Single Breasted Casual Men's Blazer,12,20,9
128,Speedo Printed Men's Dark Blue Swim Shorts,3,11,3
129,Blueyes Solid Men's Waistcoat,29,63,21
130,Peter EnglandMen White Slim Fit Self Design Formal Shirt,101,101,101
131,"Maniac Casual Short Sleeve Printed Women's Black, Red Top",14,60,18
132,RaymondMen Navy Blue & White Contemporary Fit Checked Formal Shirt,101,101,101
133,DS WORLD Full Sleeve Solid Men's Sweatshirt,1,19,2
134,ChemistryWomen Navy Velvet-Finish Floral Embroidered Sweatshirt,8,4,8
135,Raa Jeans Slim Men's Blue Jeans,101,77,101
136,Woven Art Silk Jacquard Nehru Jacket in Navy Blue,3,1,1
137,Calvin Klein UnderwearCalvin Klein Innerwear Blue & Grey Striped Slim Fit Boxers U1513WU1,1,2,2
138,TABARDMen Grey & Peach-Coloured Semi Slim Fit Printed Formal Shirt,5,2,3
139,Masirah Abaya New Style Modesty-6 Imported Crape With Satin Touch Pattern Abaya With Hijab,101,101,101
140,BlackberrysMen White & Blue Smart Fit Self-Design Formal Shirt,101,54,80
141,Newport Slim Men's Dark Blue Jeans,101,101,101
142,aLLMen Pink & Blue Regular Fit Printed Formal Shirt,18,47,17
143,Van HeusenMen Yellow Regular Fit Self Design Formal Shirt,46,17,27
144,RABIYA COLLECTION KYTNGB001 LYCRA Self Design Abaya,101,101,101
145,"Himgiri International Printed Women's Round Neck Grey, Black T-Shirt",101,99,101
146,Cottinfab Casual Roll-up Sleeve Striped Women's Blue Top,13,2,3
147,"Vostro Moda Men's Striped Formal Light Blue, White Shirt",74,101,83
148,Hand Embroidered Velvet Lehenga in Red,55,21,37
149,DressBerryWomen Brown Solid Tailored Jacket,94,46,62
150, White And Red Printed Bhagalpuri Silk With Banarasi Border Saree With Blouse ,1,8,4
151,U.S. Polo Assn Regular Men's Black Jeans,2,1,2
152,Hypernation Solid Women's Blue Chino Shorts,101,64,101
153, Yellow And Red Printed Jersey Cotton Semi Stitched Salwar With Dupatta ,17,66,20
154,Goodluck Full Sleeve Printed Men's Reversible Sweatshirt,101,101,101
155,ArrowMen Purple Premium Slim Fit Solid Formal Shirt,43,42,31
156,Cotton Silk Pant in Navy Blue,4,4,4
157,RoadsterWomen Burgundy Solid Hooded Sweatshirt,1,1,1
158,Mast & HarbourWomen Grey Solid Sporty Jacket,1,9,3
159,Arrow New York Slim Fit Men's Grey Trousers,101,101,101
160, Turquoise And Brown Printed Kashmiri Silk Saree With Blouse ,1,1,1
161, Blue Printed Brasso Saree With Blouse ,71,50,53
162,HRX by Hrithik RoshanWomen Blue Solid Sporty Jacket,2,1,1
163,Go India Store Printed Women Polo Neck Multicolor T-Shirt,101,101,101
164,Nick&JessMen Navy Blue Printed Boxers MNSBXR007AXXL,28,23,25
165, Blue Coloured Dupion Silk Semi Stitched Ethnic Suits ,29,2,11
166,"Flying Machine Men's Checkered Casual Red, White, Blue Shirt",51,12,29
167,Highlander Slim Men's Blue Jeans,101,101,101
168,Christy World Full Sleeve Solid Men's Sports  Jacket,101,101,101
169,ESPRITMen White & Blue Slim Fit Checked Semiformal Shirt,101,101,101
170,NikeWomen Black Solid Loose Fit VERSA CREW Dri-FIT Training Sweatshirt,1,1,1
171,LAWMAN PG3 Skinny Men's Blue Jeans,101,101,101
172,Levi's Slim Fit Men's Dark Blue Trousers,1,1,1
173,"Force Go Wear Solid Men's Grey, Blue Bermuda Shorts",101,101,101
174,United Colors of Benetton. Slim Fit Men's Dark Blue Trousers,32,54,45
175,Van HeusenMen Charcoal Grey Custom Regular Fit Solid Formal Shirt,11,28,13
176,DressBerryWomen Blue Washed Embroidered Denim Jacket,1,1,1
177,BlackberrysMen Blue Slim Fit Self Design Formal Shirt,101,2,26
178,"La Milano Men's Solid Casual Brown, Orange Shirt",90,13,44
179,"HUSTLE Printed Men's Grey, Blue, Red Track Pants",1,6,2
180,GAS Slim Men's Black Jeans,3,30,4
181,Metronaut Skinny Men's Light Blue Jeans,9,1,10
182,AthenaWomen Teal Blue Solid Collarless Jacket,3,2,1
183,Fck-3 Solid Women's Blue Denim Shorts,101,26,51
184,naughty ninosGirls White & Black Printed Dungarees with T-shirt,1,4,1
185, Pink And Beige Printed Bhagalpuri Silk Saree With Blouse ,1,2,1
186, Fabron Designer Navy Blue Embroidered Semi Stitched Lehenga Choli Material With Matching Dupatta ,31,16,25
187, Green And Maroon Printed Cotton Kota Blended Saree With Blouse ,101,101,101
188,Gatasmay Full Sleeve Solid Men's Jacket,101,101,101
189,Neo Garments Printed Women Round Neck Black T-Shirt,101,101,101
190,SGF NRSGFBRK-014 Viscose Solid Abaya With Hijab,101,101,101
191,LevisWomen Pink Solid Hooded Sweatshirt,1,1,1
192,Sweet DreamsMen Charcoal Grey Pyjamas MP-144918COM,92,101,67
193,V DotMen Rust Slim Fit Solid Formal Shirt,27,19,20
194,Rare Casual Short Sleeve Solid Women White Top,54,20,31
195,Ishin Printed Women's Tunic,101,101,101
196,Lee CooperWomen Navy Blue Washed Mildly Distressed Cropped Denim Dungarees,1,3,2
197,Momin Libas AK15516_344 Kashibo Solid Abaya,101,101,101
198,Vastraa Fusion Solid Men's Waistcoat,3,15,2
199, Blue Printed Satin Saree With Blouse ,54,53,48
200,DESIGN CLASSIC Solid Men Grey Track Pants,34,24,22
201,MansiCollections Polka Print Women's Pink Basic Shorts,101,101,101
202,PlayboyMen Maroon Printed Boxers PBL19-1P,1,1,1
203,TYCON Skinny Men's Dark Blue Jeans,101,101,101
204,"ADIDAS NEO Solid Men's Black, White Track Pants",13,46,15
205,"Chill Winston Checkered Women's Red, White, Black Night Shorts",13,5,8
206,U.S. Polo Assn.Men Black Regular Fit Checked Formal Shirt,101,1,12
207,2GOWomen Grey Solid Lightweight Sporty Jacket,30,101,22
208,The VancaGrey Sweatshirt,101,101,101
209,Urbano Fashion Slim Fit Men's Cream Trousers,101,101,101
210,VERSATYL Graphic Print Men's Dark Green Track Pants,7,33,13
211,ReebokWomen Black & Grey Colourblocked TS Training Sporty Jacket,17,5,10
212,"Fashion Line Solid Women's Pink, Green, Beige Cycling Shorts",1,3,1
213,Asics Solid Men's Black Running Shorts,3,1,1
214, Multicolor Printed Mysore Silk Saree With Blouse ,1,1,1
215,Pepe Jeans Graphic Print Women Round Neck Yellow T-Shirt,1,1,2
216,Slenor Party Full Sleeve Printed Women's Black Top,101,6,85
217,Latin QuartersWomen Pink Solid Biker Jacket,1,1,1
218,Indian Terrain Slim Fit Men's Beige Trousers,6,18,7
219,Reevolution Self Design Men's Waistcoat,101,37,46
220,Cottinfab Casual Short Sleeve Geometric Print Women Yellow Top,36,12,19
221,BIS Creations Self Design Men's White Track Pants,3,5,3
222,Embroidered Velvet Palazzo in Black,1,1,1
223,Zink London Solid Women's Orange Hotpants,1,7,2
224,Sofias (Mm004_Black_Free Size) Al Nida And Lycra Fabric women's Abaya With Hijab,101,101,101
225,TSX Slim Fit Men's Grey Trousers,101,59,101
226,Proline Solid Men's Dark Blue Track Pants,59,76,70
227,Kotty Animal Print Men's Beige Regular Shorts,9,4,4
228, Light Grey Embroidered Net Semi Stitched Salwar With Dupatta ,5,1,1
229,Beevee Printed Men's Red Bermuda Shorts,11,82,17
230,RASSO Regular Men Dark Blue Jeans,101,101,101
231,Cotton County Premium Full Sleeve Solid Men's Jacket,3,28,3
232,"Greenhouse Solid Men's Blue, Grey Track Pants",101,101,101
233,"Nike Printed Women's Purple, Pink Sports Shorts",1,1,1
234,IndiWeaves Printed Women's Round Neck Multicolor T-Shirt,2,12,3
235,Club York Full Sleeve Solid Men's Sweatshirt,101,101,101
236,Peter England Suit Fit Solid Men's Suit,101,101,101
237, Green Embroidered Net Unstitched Lehenga Choli ,16,2,3
238, Green Resham Embroidered Silk Saree With Blouse ,1,1,1
239,ESPRITMANGO Women Beige & Black Checked Single-Breasted Casual Blazer,1,5,1
240,Highlander Slim Fit Men's Blue Trousers,19,100,26
241,"Arrow Men's Solid, Polka Print Formal Blue Shirt",101,60,83
242,Kotty Solid Women's Black Regular Shorts,101,101,101
243,Abaya AL1019 Nida Self Design Burqa With Hijab,88,101,101
244,Showoff Men's Checkered Casual Orange Shirt,3,37,12
245,Modest Forever P139 Heather Moss Abaya With Hijab,101,101,101
246, Golden Peach Pink Sequins Work Lehnega Choli Blouse And Dupatta ,9,7,8
247,PeopleWomen Maroon Solid Duster Jacket,1,1,1
248,Cold Fusion Regular Fit Men's Black Trousers,16,101,70
249,Van HeusenMaroon Custom Fit Solid Formal Shirt,101,101,101
250,Pink embroidered cotton semi stitched salwar with dupatta,101,101,101
251,VividArtsyWomen Red Solid Corduroy Jacket,1,3,1
252,Plain Cotton Silk Anarkali Suit in Pink,5,10,6
253,Modest Forever P396 Premium Nida Solid Abaya,101,101,101
254,Rakshita Collection Sleeveless Self Design Men's Jacket,101,101,101
255, Blue Printed Chiffon Saree With Blouse ,2,2,2
256,"Fashion Line Solid Women's Pink, Blue Cycling Shorts",2,2,2
257,Fawn plain slub  kurtaset with all  over brown  and cream cording and work on the collar and collar patti,14,12,11
258,Arrow Sport Printed Single Breasted Casual Men's Blazer,7,23,8
259, Multicolor Printed Satin Lehenga Choli ,3,1,1
260,"Reebok Printed Women's Green, Purple Sports Shorts",1,1,1
261,Rock Hudson Regular Fit Men's Brown Trousers,101,101,101
262,FOREVER 21Women White Striped Hooded Sweatshirt,1,1,1
263, Rama Green Embroidered Tafeta Silk Semi Stitched Salwar With Dupatta ,1,29,5
264,"Belmarsh Solid Women Black, White, Black, Red Cycling Shorts",29,19,26
265, Light Pink Embroidered Georgette Semi Stitched Salwar With Dupatta ,1,10,5
266,Rock.it Full Sleeve Solid Men Sweatshirt,101,101,101
267,INVICTUSMen Grey Slim Fit Self-Design Formal Shirt,12,101,31
268,"Nivia Solid Men's Blue, Orange, White Sports Shorts",2,1,2
269,Basics Slim Fit Men's Dark Blue Trousers,101,44,95
270,Rodid Men's Solid Casual Light Green Shirt,5,5,6
271,Rockhard Full Sleeve Solid Men's Reversible Sweatshirt,101,99,101
272,Arrow New YorkMen Grey Slim Fit Self Design Formal Shirt,27,32,14
273,Canary London Checkered Single Breasted Casual Men's Blazer,10,37,19
274,2GO Solid Men Green Track Pants,3,2,3
275,RABIYACOLLECTION RCCC03 COTTON Abaya,101,101,101
276,TexcoWomen Beige & Black Embellished Hooded Sweatshirt,3,1,1
277, Indian Women Green Color Two Tone Silk Fabrics Saree ,63,21,40
278,Modest Forever P185 Heather Moss Abaya,101,101,101
279,HarvardWomen Charcoal Grey Solid Hooded Sweatshirt,3,16,3
280,CLODENTITY Men's Cargos,101,101,101
281,Momin Libas A 73-14_82 Kashibo Abaya,101,101,101
282,FOREVER 21Women Grey Solid Longline Hooded Sweatshirt,1,1,1
283,French Connection Skinny Men's Black Jeans,44,43,41
284,DressBerryWomen White Printed Sweatshirt,10,80,21
285,Speedo Printed Men Black Swim Shorts,13,35,12
286,Sports 52 Wear Full Sleeve Solid Men's Riding  Jacket,41,62,18
287, Purple Woven Raw Silk Saree With Blouse ,101,71,101
288,Tommy HilfigerWomen Navy Blue Embellished Sweatshirt,1,1,1
289,RABIYA COLLECTION NDNDKAL001 NIDA Self Design Abaya,101,40,101
290,White cotton dry fitter black and white thobe,1,1,1
291,"Softrose Solid Women's Black, Pink, Light Blue Sports Shorts",101,101,101
292,Roadster Solid Women's Round Neck Blue T-Shirt,14,2,4
293,Banarasi Pure Muga Silk Saree in Maroon,1,1,1
294,"Belmarsh Solid Women Blue, White, Red, Blue Cycling Shorts",24,12,20
295, Multicolour Yellow Green Navratri Mirror Work Kutch Lehenga Choli Blouse And Dupatta ,2,7,4
296,"United Colors of Benetton Men's Checkered Casual Red, Purple Shirt",11,79,18
297,ChemistryWomen Black Embroidered Biker Jacket,5,18,3
298,Calvin Klein Slim Men Blue Jeans,101,101,101
299,Green embroidered brocade mens kurta pajama,17,23,18
300, Blue Embroidered Pure Silk Saree With Blouse ,101,74,101
301,I AM FOR YOUWomen Navy Blue Embellished Hooded Sweatshirt,4,2,2
302,Kook N KeechWomen Black Sequinned Sweatshirt,3,1,1
303,Ap'pulse Solid Women's Mock Neck Maroon T-Shirt,1,1,1
304,TAB91 Camo Print (Navy) Printed Men's Multicolor Track Pants,13,14,14
305,ManolaWomen Green Self Design Sweatshirt,5,61,18
306,Bravezi Men's Checkered Casual Light Blue Shirt,12,1,13
307,Ben Martin Slim Men's Blue Jeans,101,101,101
308,Metronaut Solid Men Green Track Pants,3,1,1
309,Maroon poly silk kurta set with cording all over the kurta with embroidered collar and placket patti,29,21,22
310,BlackberrysMen White & Navy Regular Fit Self Design Formal Shirt,101,74,101
311,Griffel Embroidered Men's Black Track Pants,1,1,1
312,Van HeusenMen Blue Self Design Formal Shirt,101,95,101
313,One Femme Party 3/4th Sleeve Solid Women's Maroon Top,101,101,101
314,AKSWomen Navy Blue & Golden Printed Longline Ethnic Jacket,1,2,1
315,Tokyo Talkies Women's Printed Casual Dark Blue Shirt,31,4,20
316,Ira SoleilBlack & Gold-Toned Printed Waistcoat,2,1,2
317, Grey Embroidered Art Silk Semi Stitched Lehenga With Dupatta ,3,5,3
318,Block Printed Cotton Slub Pakistani Suit in Fuchsia,1,1,1
319, Blue Color Silk Embroidered Semi Stitched Lehenga Choli With Blouse ,87,41,62
320,Campus SutraWomen Maroon & Purple Dyed Sweatshirt,1,1,1
321,Plain Dupion Silk Pant in Teal Blue,1,1,1
322,Honey By Pantaloons Casual Short Sleeve Printed Women's White Top,101,5,64
323,Sweet DreamsMen Navy Joggers MP-154518COM,8,5,4
324,Indo Mood Sleeveless Embellished Men's Jacket,101,101,101
325,MadameWomen White Self Design Cardigan,9,2,6
326,PumaBlack SOFT SPORT Drapey FZ Hoody Jacket,2,1,2
327,FREE AUTHORITY Men's Graphic Print Casual Black Shirt,1,1,1
328,Peach & beige cotton embroidered women's indo western suit unstitched,37,29,29
329,Rodid Solid Men's Grey Track Pants,101,21,101
330,Frenchtrendz Solid Women's Black Denim Shorts,101,101,101
331,Hanu Self Design Men's Waistcoat,101,101,101
332,Jockey Solid Women's Henley Pink T-Shirt,1,1,1
333,TABARDMen Blue & Green Slim Fit Checked Formal Shirt,101,37,101
334,"Peter England University Men's Checkered Casual Red, White Shirt",101,101,101
335,Indian Terrain Skinny Fit Men's Dark Blue Trousers,2,38,10
336,Indigo Nation Street Slim Men's Blue Jeans,101,101,101
337,Peter England Men's Solid Casual Dark Blue Shirt,17,7,8
338,"Oshano Slim Fit Men's Dark Blue, Dark Blue Trousers",61,61,84
339,Next LookMen Blue Slim Fit Self Design Formal Shirt,101,71,101
340,RABIYA COLLECTION LYBP82 LYCRA Solid Abaya With Hijab,101,101,101
341,Art Dupion Silk Straight Pant in Coral,1,1,1
342,Gag Full Sleeve Solid Men & Women Sweatshirt,101,101,86
343,Cherokee Casual Full Sleeve Solid Women's Pink top,101,101,101
344,Wills LifestyleMen White & Blue Slim Fit Striped Formal Shirt,11,10,7
345,Vero Moda Printed Women's White Chino Shorts,75,7,21
346,Nomkler Full Sleeve Solid Men's Jacket,101,101,101
347,GivoMen Blue Slim Fit Solid Formal Shirt,101,101,101
348,T-Base Printed Men's Blue Chino Shorts,15,6,8
349,Van HeusenMen Maroon Slim Fit Solid Formal Shirt,11,9,9
350,EnnobleMen Cream-Coloured Printed Boxers ENBBAPLEN29086,2,3,2
351,HancockMen Coral & Grey Slim Fit Checked Formal Shirt,4,12,4
352,INVICTUSMen Blue Slim Fit Formal Shirt,101,101,101
353,Jockey Solid Women's Round Neck Blue T-Shirt,38,101,52
354,FemellaWomen Pink Solid Hooded Sweatshirt,65,10,31
355,COBIO MAN Men Solid Casual Black Shirt,51,74,63
356,AKSWomen Yellow & Brown Printed Longline Open Front Ethnic Jacket,2,2,2
357,SASSAFRASWomen Brown Solid Cape Jacket,2,2,2
358,FUGAZEE Regular Men's Light Blue Jeans,101,67,101
359,Art Dupion Silk Straight Pant in Off White,1,1,1
360,PeopleWomen Black Solid Bomber Jacket,15,1,3
361,People Casual Noodle strap Printed Women's Brown Top,1,1,1
362,NunWomen Charcoal Grey Solid Hooded Crop Sweatshirt,1,1,1
363,Jealous Club 21 Casual Sleeveless Printed Women's Black Top,101,101,101
364,yuvraah Self Design Men's Grey Track Pants,101,101,101
365,BARESKINWomen Navy Blue Solid Lightweight Leather Jacket,3,3,2
366,"Allen Solly Sleeveless Solid, Striped Men's Reversible Sweatshirt",1,3,1
367,"Fashion Line Solid Women's Black, Green, Beige Cycling Shorts",1,10,1
368,Sports 52 Wear Slim Fit Men's Brown Trousers,101,101,101
369,HRX by Hrithik RoshanWomen Coral Solid Hooded Sweatshirt,11,16,8
370,"TSX Printed, Solid Men's Blue, Grey Track Pants",74,101,101
371,Van HeusenMen Grey Slim Fit Checked Formal Shirt,20,14,17
372,Nite Flite Polka Print Women Pink Night Shorts,18,23,22
373,Shaftesbury London Checkered Men's Waistcoat,20,11,11
374,Fever Regular Fit Men's Black Trousers,101,101,101
375,Honey by PantaloonsWomen White Printed Sweatshirt,1,2,1
376,Izod Slim Fit Men's Brown Trousers,101,101,101
377,Kotty Solid Women's Denim Red Regular Shorts,101,98,101
378,ONLYBlack Single-Breasted Casual Blazer,36,101,70
379,OxembergMen Pink & White Slim Fit Checked Formal Shirt,1,12,1
380,McHenry Regular Fit Men's Blue Trousers,101,26,55
381,Stylox Slim Men's Multicolor Jeans,21,4,3
382,Fort CollinsWomen Grey Solid Hooded Parka Jacket,12,101,36
383,Maroon churidar dupion silk kurta pajama,101,101,101
384,Parx Men Printed Casual Linen Blue Shirt,18,24,10
385,Vvoguish Printed Women's Red Basic Shorts,48,45,36
386,Flying Machine Men's Checkered Casual Red Shirt,8,6,5
387,Van Heusen Slim Fit Men's Cream Trousers,101,26,90
388,ColorPlusMen Green Tailored Fit Linen Formal Shirt,1,1,1
389,Parx Men Printed Casual Multicolor Shirt,28,1,12
390,Modest Forever P100 Poly Moss Abaya,101,101,101
391,ColumbiaWomen Mustard Brown Castle Crest Hooded Padded Jacket,1,1,1
392,RAREWomen Navy Blue Solid Sweatshirt,69,18,73
393,Red dupion silk traditional embroidered kurta pajama,47,38,39
394,SpeciesWomen Multicoloured Striped Cardigan,1,1,1
395,Fasnoya Self Design Women's Denim Dark Blue Denim Shorts,101,60,101
396,Kotty Solid Women's Pink Chino Shorts,19,32,31
397,Bandhej Pure Crepe Chinon Straight Cut Suit in Green,3,1,2
398,SASSAFRASWomen Navy Blue Solid Hooded Sweatshirt,14,10,10
399,Half N Half Georgette Saree in Green,24,8,15
400,Men orange linen only kurta,5,8,7
401,"Trendy Trotters Regular Fit Men's Dark Green, Dark Green Trousers",101,101,101
402,WROGN Full Sleeve Self Design Men's Sweatshirt,27,14,19
403, Yellow Embroidered Net Semi Stitched Salwar With Dupatta ,1,25,2
404,HarvardWomen Black Self Design Bomber,101,14,83
405,HRX by Hrithik RoshanWomen Grey Melange Solid Hooded Sweatshirt,35,2,12
406,FOREVER 21Women Black Solid Cropped Bomber Jacket,1,1,1
407, Cream Georgette Cotton Semi Stitched Palazzo Ethnic Suits Semi stitched ,5,7,4
408,"Teesort Floral Print Women's Black Basic Shorts, Hotpants",21,42,29
